Date,Open,High,Low,Close,Volume,,,,,,
11-09-2000,374.8,387,374.1,383.15,7055315,,,,,,
12-09-2000,385,389.8,381.2,383.45,4331376,,,,,,
13-09-2000,385.95,385.95,372,375.5,5918549,,,,,,
14-09-2000,376.05,380.65,372.7,375.7,4199710,,,,,,
15-09-2000,376,377.15,363.15,365.95,3798828,,,,,,
18-09-2000,363,363,343.15,346.2,5241140,,,,,,
19-09-2000,344.2,351.95,334,337.6,4866225,,,,,,
20-09-2000,341.25,350.75,337.6,347.5,3828743,,,,,,
21-09-2000,347.9,350,342.35,347.9,3454067,,,,,,
22-09-2000,347,347,335.95,338.35,4212265,,,,,,
25-09-2000,342.05,346,338,341.95,3466621,,,,,,
26-09-2000,344,344,338.05,341.3,2857067,,,,,,
27-09-2000,341.05,354.7,334.4,351.9,6614226,,,,,,
28-09-2000,355,355,343.5,345.6,4924399,,,,,,
29-09-2000,347.8,349.9,341.05,342.5,2713333,,,,,,
03-10-2000,340.05,345.5,338.25,343.15,2996291,,,,,,
04-10-2000,346,348.5,343.9,346.65,1814978,,,,,,
05-10-2000,345.15,347.3,338.7,340.15,1717130,,,,,,
06-10-2000,338.05,341.8,336.55,340.4,2084877,,,,,,
09-10-2000,341,346.5,339.05,340.45,2465985,,,,,,
10-10-2000,341.05,341.5,333.4,335.2,2142703,,,,,,
11-10-2000,333,334.4,327.6,330.3,1941301,,,,,,
12-10-2000,327.5,334.5,322.55,327.35,4932887,,,,,,
13-10-2000,325.25,325.25,305.1,318.3,3820168,,,,,,
16-10-2000,321,334.4,305.25,310.3,4859355,,,,,,
17-10-2000,305.15,311.7,297.25,301.95,5873954,,,,,,
18-10-2000,299.5,302.5,294.25,298.35,2711227,,,,,,
19-10-2000,296.8,308.4,287,303.15,5017513,,,,,,
20-10-2000,309.25,313.5,296.15,298.1,6294894,,,,,,
23-10-2000,298,298,283.35,285.85,3537551,,,,,,
24-10-2000,286,294.7,284.5,292.7,4991911,,,,,,
25-10-2000,294,309.1,293.3,305.05,5484325,,,,,,
26-10-2000,307.95,310,304.05,305.55,1351639,,,,,,
27-10-2000,306.95,308.5,300.1,302.95,3479544,,,,,,
30-10-2000,304.5,309.4,300.1,301,2922970,,,,,,
31-10-2000,300.05,303.75,294.3,302.15,3035468,,,,,,
01-11-2000,310.45,312.8,304.55,308.55,5175535,,,,,,
02-11-2000,308.9,318,308.9,315.7,5345328,,,,,,
03-11-2000,318.4,320.75,314.8,315.65,4185175,,,,,,
06-11-2000,316.95,319.9,312,312.7,3987985,,,,,,
07-11-2000,310.15,315.25,310.15,313.2,2597494,,,,,,
08-11-2000,316.7,322.4,315,318.45,5620668,,,,,,
09-11-2000,317.5,322.7,316,319.15,3806455,,,,,,
10-11-2000,318.45,319.75,310.25,311.15,3515717,,,,,,
